,ProductImg,Product Brand,Product Model,Tag
0,"https://images-na.ssl-images-amazon.com/images/I/71vvXGmdKWL._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 5 Slim - visualizacion IPS Full HD de 15,6 Pulgadas, AMD Ryzen 5 3500U, Vega 8 Graphics, 8GB DDR4, 256 GB ",1
1,"https://images-na.ssl-images-amazon.com/images/I/61vIVmO7OHL._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo Laptop IP 3-14IIL Intel Ci5, RAM 12GB, SDD 256GB, Windows 10, Azul ",1
2,"https://images-na.ssl-images-amazon.com/images/I/7132lTn3fOL._AC_UL200_SR200,200_.jpg",Asus,"Asus Laptop Gamer TUF 15.6"", GeForce GTX 1650, Ryzen 7 , 8GB RAM, 256 GB SSD, FX505DT-BQ155T ",1
3,"https://images-na.ssl-images-amazon.com/images/I/51dOURE3uLL._AC_UL200_SR200,200_.jpg",HUAWEI,"HUAWEI Matebook 13 2020 - Computadora portatil Ultra Delgada 13"", Intel Core i5-10210U, Windows 10, 512 GB SSD + 8 GB ",1
5,"https://images-na.ssl-images-amazon.com/images/I/61VKlb8hKyL._AC_UL85_SR85,85_.jpg",Dell,"Dell Laptop Inspiron 3505 AMD Athlon Silver, 8GB RAM, 256GB SSD, Win 10 - Plata. ",1
6,"https://images-na.ssl-images-amazon.com/images/I/61oQOVvXg7L._AC_UL85_SR85,85_.jpg",Dell,Dell Gaming G3 15 3500 Intel Core I5 8Gb 256Gb Blanco ,1
10,"https://images-na.ssl-images-amazon.com/images/I/616lp68ZrQL._AC_UL200_SR200,200_.jpg",Dell,"Dell Inspiron 5391 13"" Core i7 10a. Gen., 8GB RAM, 512 SSD, Windows 10. Incluye Monitor de 20"" ",1
11,"https://images-na.ssl-images-amazon.com/images/I/71vvXGmdKWL._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 5 Slim - visualizacion IPS Full HD de 15,6 Pulgadas, AMD Ryzen 7 3700U, RX Vega 10 graficos, 8GB DDR4, 512 ",1
12,"https://images-na.ssl-images-amazon.com/images/I/51jeoMkZiKL._AC_UL200_SR200,200_.jpg",Lenovo,"2020 Lenovo IdeaPad Laptop ComputerAMD A6-9220e 1.6GHz 4GB Memory 64GB eMMC Flash Memory 14"" AMD Radeon R4 AC WiFi ",1
13,"https://images-na.ssl-images-amazon.com/images/I/51dOURE3uLL._AC_UL200_SR200,200_.jpg",Huawei,"Huawei Matebook 13 2020 -Laptop 13"" Procesador Amd Ryzen 5 3500U, Windows 10, Memoria De 256 Gb Rom + 8 Gb Ram, Gpu ",1
14,"https://images-na.ssl-images-amazon.com/images/I/61c1UTa9fwL._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 5 A515-44-R2SA, 15.6"", Full HD, AMD Ryzen 7 4700U Octa-Core Procesador movil con Radeon Graphics, 8GB DDR4 ",1
15,"https://images-na.ssl-images-amazon.com/images/I/51RP5cuwFXL._AC_UL200_SR200,200_.jpg",HP,"HP COMHPI970 Laptop - 14"", Intel Celeron, N4000, 4 GB, Windows 10 Home, 500 GB ",1
17,"https://images-na.ssl-images-amazon.com/images/I/81Y6WZhCuDL._AC_UL200_SR200,200_.jpg",HP,"HP Laptop 14 pulgadas, Ryzen 3 3200U hasta 3,5 GHz, AMD Radeon Vega 3 Graphics, 4GB SDRAM, SSD de 128 GB, WiFi, camara ",1
18,"https://images-na.ssl-images-amazon.com/images/I/611KJn0s%2BKL._AC_UL200_SR200,200_.jpg",Dell,"Dell Laptop G3 15.6"" Core i5 10a. Gen. 8GB RAM, 256 SSD, NVIDIA GEFORCE GTX 1650, Windows 10 - Blanco. ",1
19,"https://images-na.ssl-images-amazon.com/images/I/61%2BLliKJpyL._AC_UL200_SR200,200_.jpg",Huawei,"Huawei MateBook D 15"" - AMD Ryzen, Windows 10 - 8+256 GB,15.6 pulgadas, Color Plateado (Mystic Silver) ",1
21,"https://images-na.ssl-images-amazon.com/images/I/712QuIJM7KL._AC_UL200_SR200,200_.jpg",LAPTOP,"LAPTOP GAMING MSI GF63 Thin 10SCSR-610MX 15.6"" FHD, IPS, NVIDIA GEFORCE GTX1650TI MAX-Q 4GB, INTEL CORE i5-10300H, RAM ",1
22,"https://images-na.ssl-images-amazon.com/images/I/71vvXGmdKWL._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 5 Slim Laptop 15.6"" Full HD IPS visualizacion, AMD Ryzen 3 3200U, Vega 3 Graphics, 4 GB DDR4, 128 GB SSD ",1
23,"https://images-na.ssl-images-amazon.com/images/I/71sRJdOEUEL._AC_UL200_SR200,200_.jpg",Dell,"Dell Laptop G5 Core i7 10a. Gen,16 GB RAM, 512SSD, NVIDIA GEFORCE GTX 1660 Ti, Win 10 - Negro ",1
24,"https://images-na.ssl-images-amazon.com/images/I/719Xp9IGIVL._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo IdeaPad 3 2020 - visualizacion tactil HD de 15 Pulgadas, Intel 10 generacion Dual-Core i3-1005G1 CPU, 8GB DDR4 ",1
25,"https://images-na.ssl-images-amazon.com/images/I/61UVAs3Qk-L._AC_UL200_SR200,200_.jpg",Samsung,Samsung Chromebook 4 Chrome OS 11.6 Pulgadas HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA ,1
26,"https://images-na.ssl-images-amazon.com/images/I/81M%2BO6xJ0UL._AC_UL200_SR200,200_.jpg",HP,"HP Pavilion Laptop, Pantalla de 15"" FHD, Procesador AMD Ryzen 7 3700U(2a), 16GB RAM, 1TB+128GB SSD, Sistema operativo ",1
27,"https://images-na.ssl-images-amazon.com/images/I/71QOu1OVbdL._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 5, 15.6"" Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, retroiluminado ",1
28,"https://images-na.ssl-images-amazon.com/images/I/31lliPCo43L._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo Laptop IdeaPad L340-15API 15.6"", AMD RYZEN 5, RAM 8GB,2TB HDD Abyss Blue ",1
29,"https://images-na.ssl-images-amazon.com/images/I/717ywJDnAHL._AC_UL200_SR200,200_.jpg",HP,"HP Pavilion Intel Pentium Gold 4417U 4 GB 500 GB 15.6-inch DVD Windows 10 Laptop, Blanco crudo, 15-15.99 inches (Renewed ",1
30,"https://images-na.ssl-images-amazon.com/images/I/61u9YxmwMCL._AC_UL200_SR200,200_.jpg",Huawei,"Huawei Matebook D 14"", Amd Ryzen, Windows 10, Ssd 512 Gb 8Gb Ram, Color Plateado (Mystic Silver) ",1
31,"https://images-na.ssl-images-amazon.com/images/I/61gyGLERUKL._AC_UL200_SR200,200_.jpg",PortÃ¡til,"Portatil Dell Latitude E7470 de 14 pulgadas, Core i5-6300U 2,4 GHz, 8GB de RAM, 256 GB SSD, Windows 10 Pro 64 bits ",1
32,"https://images-na.ssl-images-amazon.com/images/I/61oWaXNhd1L._AC_UL200_SR200,200_.jpg",Huawei,"Huawei MateBook D 15"" AMD Ryzen 5, Windows 10,512GB SSD, 8GB RAM,15.6 Pulgadas, Color Gris ",1
33,"https://images-na.ssl-images-amazon.com/images/I/61bm32Q4E8L._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 3 Core I3-1005G1; Pantalla 15.6"" HD; 8 GB RAM; 1 TB HDD ",1
34,"https://images-na.ssl-images-amazon.com/images/I/71SZpMT7k3L._AC_UL200_SR200,200_.jpg",HP,"HP visualizacion Insignia Chromebook, 11,6"" HD (1366 x 768), procesador Intel Celeron N3350, 4GB LPDDR2, 32GB eMMC ",1
35,"https://images-na.ssl-images-amazon.com/images/I/81p0gzNy7AL._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo ideapad S145 pantalla 15.6 pulgadas, laptop IPS, procesador Intel Core 10 generacion i3-1005G1 de doble nucleo ",1
36,"https://images-na.ssl-images-amazon.com/images/I/716sLNiFKWL._AC_UL200_SR200,200_.jpg",Notebook,"Notebook IdeaPad S340-15IIL Ci5, 12 GB, 1 TB DD ",1
37,"https://images-na.ssl-images-amazon.com/images/I/71Qr5HOVCzL._AC_UL200_SR200,200_.jpg",Dell,Dell Gaming G3 15 3500 Intel Core I5 8Gb 256Gb Negro ,1
38,"https://images-na.ssl-images-amazon.com/images/I/81ogtKnKZXL._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo Flex 5 14"" FHD IPS tactil Premium 2 en 1, AMD 4th Gen Ryzen 5 4500U, 16GB RAM, 512 GB PCIe SSD, teclado ",1
39,"https://images-na.ssl-images-amazon.com/images/I/61%2BLliKJpyL._AC_UL200_SR200,200_.jpg",Huawei,"Huawei MateBook D 15"" - AMD Ryzen, Windows 10-1TB+256 GB, 8GB RAM,15.6 Pulgadas, Color Plateado (Mystic Silver) ",1
40,"https://images-na.ssl-images-amazon.com/images/I/71Vw3ExhsQL._AC_UL200_SR200,200_.jpg",Asus,"Asus VivoBook S13 Portatil Delgado y Ligero, 33 cm., Indie Negro, 13-13.99 Inches ",1
41,"https://images-na.ssl-images-amazon.com/images/I/61ViOMIUhmL._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo Chromebook S330 Laptop, Pantalla FHD de 14 Pulgadas (1920 x 1080), procesador MediaTek MT8173C, 4GB LPDDR3, 64GB ",1
42,"https://images-na.ssl-images-amazon.com/images/I/61dJ7TgwcXL._AC_UL200_SR200,200_.jpg",Dell,"Dell Laptop Inspiron 3585, AMD Ryzen 5, 8GB RAM, 512GB SSD, Win 10 - Plata. ",1
43,"https://images-na.ssl-images-amazon.com/images/I/810R8jfOCqL._AC_UL200_SR200,200_.jpg",Asus,"Asus Chromebook Laptop- 14 Pulgadas HD 180 Grados NanoEdge, procesador Intel Dual Core Celeron N3350, 4 GB RAM, 32 GB de ",1
44,"https://images-na.ssl-images-amazon.com/images/I/712QuIJM7KL._AC_UL200_SR200,200_.jpg",LAPTOP,"LAPTOP GAMING MSI GF63 Thin 10SCSR-456MX 15.6"" FHD, IPS, NVIDIA GEFORCE GTX1650 TI MAX-Q 4GB, INTEL CORE i7-10750H, RAM ",1
